timestamp=18010845490157, VA=000080000008a000-00008000000ca000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x603103294bd0
timestamp=18010845543678, VA=0000800103d00000-0000800103d05000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310375e9b0
timestamp=18010845547054, VA=0000800103d00000-0000800103d04b00, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103378230
timestamp=18010845560630, VA=00008000000ca000-00008000000da000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034f1560
timestamp=18010845588252, VA=0000800103d40000-0000800103d41000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310375e240
timestamp=18010845590556, VA=0000800103d40000-0000800103d40330, binding_type=bind, object_type=VK_OBJECT_TYPE_BUFFER, object_handle=0x603103562ad0
timestamp=18010862617058, VA=0000800128e00000-0000800129200000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031037674b0
timestamp=18010862629482, VA=0000800128e00000-0000800129200000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103766880
timestamp=18010869155955, VA=0000800129200000-0000800129600000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310373b7d0
timestamp=18010869163980, VA=0000800129200000-0000800129600000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x6031037c8140
timestamp=18010874705940, VA=0000800129600000-0000800129a00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310376aae0
timestamp=18010874716009, VA=0000800129600000-0000800129a00000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x60310373d490
timestamp=18010876631357, VA=0000800129a00000-0000800129e00000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x60310373fb90
timestamp=18010876638801, VA=0000800129a00000-0000800129e00000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x60310373f010
timestamp=18010877184989, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103740ef0
timestamp=18010877218613, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037412f0
timestamp=18010877294806, VA=0000800129e00000-0000800131e80000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x603103768a90
timestamp=18010877300247, VA=0000800129e00000-0000800131e80000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103741bb0
timestamp=18010877342666, VA=0000800132000000-0000800133000000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE_MEMORY, object_handle=0x6031037452e0
timestamp=18010877345512, VA=0000800132000000-0000800133000000, binding_type=bind, object_type=VK_OBJECT_TYPE_IMAGE, object_handle=0x603103744660
timestamp=18010893579291, VA=000080010001b000-000080010001b008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103913cc0
timestamp=18010893760072, VA=0000800000200000-0000800000620000, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x603103294bd0
timestamp=18010893771523, VA=000080010001c000-000080010001c130, binding_type=bind, object_type=VK_OBJECT_TYPE_DEVICE, object_handle=0x603103294bd0
timestamp=18010905715942, VA=00008000000da000-00008000000de000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034f70e0
timestamp=18010905772419, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103740ef0
timestamp=18010905807856, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037412f0
timestamp=18010905838864, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4ae0
timestamp=18010905857108, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803930
timestamp=18010906609095, VA=000080010001d000-000080010001d008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x6031038273f0
timestamp=18010917710546, VA=00008000000de000-00008000000e2000, binding_type=bind, object_type=VK_OBJECT_TYPE_COMMAND_BUFFER, object_handle=0x6031034fcc60
timestamp=18010917767764, VA=0000800100019000-00008001000190f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4ae0
timestamp=18010917803772, VA=000080010001a000-000080010001a0f0, binding_type=unbind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803930
timestamp=18010917836373, VA=0000800100019000-00008001000190f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x603103803930
timestamp=18010917857213, VA=000080010001a000-000080010001a0f0, binding_type=bind, object_type=VK_OBJECT_TYPE_QUERY_POOL, object_handle=0x6031037a4ae0
timestamp=18010918961673, VA=000080010001e000-000080010001e008, binding_type=bind, object_type=VK_OBJECT_TYPE_EVENT, object_handle=0x603103752e30
